"","i","sampno","V1","chain"
"387",10,2700,1,1
"388",10,2800,1,1
"389",10,2900,1,1
"390",10,3000,1,1
"391",10,3100,1,1
"392",10,3200,1,1
"393",10,3300,1,1
"394",10,3400,1,1
"395",10,3500,1,1
"396",10,3600,1,1
"397",10,3700,1,1
"398",10,3800,1,1
"399",10,3900,1,1
"400",10,4000,1,1
"401",10,4100,1,1
"402",10,4200,1,1
"403",10,4300,1,1
"404",10,4400,1,1
"405",10,4500,1,1
"406",10,4600,1,1
"407",10,4700,1,1
"408",10,4800,1,1
"409",10,4900,1,1
"410",10,5000,1,1
"411",11,1000,3,1
"412",11,1100,4,1
"413",11,1200,5,1
"414",11,1300,5,1
"415",11,1400,5,1
"416",11,1500,4,1
"417",11,1600,4,1
"418",11,1700,4,1
"419",11,1800,5,1
"420",11,1900,5,1
"421",11,2000,5,1
"422",11,2100,5,1
"423",11,2200,5,1
"424",11,2300,4,1
"425",11,2400,4,1
"426",11,2500,5,1
"427",11,2600,5,1
"428",11,2700,5,1
"429",11,2800,5,1
"430",11,2900,4,1
"431",11,3000,5,1
"432",11,3100,5,1
"433",11,3200,5,1
"434",11,3300,5,1
"435",11,3400,4,1
"436",11,3500,5,1
"437",11,3600,4,1
"438",11,3700,4,1
"439",11,3800,5,1
"440",11,3900,5,1
"441",11,4000,5,1
"442",11,4100,5,1
"443",11,4200,5,1
"444",11,4300,5,1
"445",11,4400,5,1
"446",11,4500,5,1
"447",11,4600,5,1
"448",11,4700,5,1
"449",11,4800,5,1
"450",11,4900,5,1
"451",11,5000,6,1
"452",12,1000,8,1
"453",12,1100,8,1
"454",12,1200,8,1
"455",12,1300,8,1
"456",12,1400,7,1
"457",12,1500,8,1
"458",12,1600,8,1
"459",12,1700,6,1
"460",12,1800,6,1
"461",12,1900,6,1
"462",12,2000,6,1
"463",12,2100,6,1
"464",12,2200,6,1
"465",12,2300,6,1
"466",12,2400,6,1
"467",12,2500,6,1
"468",12,2600,6,1
"469",12,2700,6,1
"470",12,2800,6,1
"471",12,2900,6,1
"472",12,3000,7,1
"473",12,3100,7,1
"474",12,3200,6,1
"475",12,3300,6,1
"476",12,3400,6,1
"477",12,3500,7,1
"478",12,3600,7,1
"479",12,3700,7,1
"480",12,3800,6,1
"481",12,3900,7,1
"482",12,4000,6,1
"483",12,4100,7,1
"484",12,4200,6,1
"485",12,4300,7,1
"486",12,4400,7,1
"487",12,4500,7,1
"488",12,4600,7,1
"489",12,4700,7,1
"490",12,4800,7,1
"491",12,4900,7,1
"492",12,5000,6,1
"493",13,1000,14,1
"494",13,1100,15,1
"495",13,1200,13,1
"496",13,1300,11,1
"497",13,1400,11,1
"498",13,1500,12,1
"499",13,1600,11,1
"500",13,1700,12,1
"501",13,1800,9,1
"502",13,1900,12,1
"503",13,2000,12,1
"504",13,2100,9,1
"505",13,2200,12,1
"506",13,2300,12,1
"507",13,2400,10,1
"508",13,2500,10,1
"509",13,2600,10,1
"510",13,2700,11,1
"511",13,2800,9,1
"512",13,2900,10,1
"513",13,3000,14,1
"514",13,3100,13,1
"515",13,3200,13,1
"516",13,3300,13,1
"517",13,3400,12,1
"518",13,3500,11,1
"519",13,3600,11,1
"520",13,3700,11,1
"521",13,3800,11,1
"522",13,3900,12,1
"523",13,4000,12,1
"524",13,4100,11,1
"525",13,4200,10,1
"526",13,4300,10,1
"527",13,4400,10,1
"528",13,4500,10,1
"529",13,4600,10,1
"530",13,4700,10,1
"531",13,4800,10,1
"532",13,4900,10,1
"533",13,5000,10,1
"534",14,1000,6,1
"535",14,1100,5,1
"536",14,1200,6,1
"537",14,1300,5,1
"538",14,1400,7,1
"539",14,1500,6,1
"540",14,1600,9,1
"541",14,1700,8,1
"542",14,1800,9,1
"543",14,1900,9,1
"544",14,2000,7,1
"545",14,2100,8,1
"546",14,2200,8,1
"547",14,2300,9,1
"548",14,2400,8,1
"549",14,2500,10,1
"550",14,2600,9,1
"551",14,2700,10,1
"552",14,2800,9,1
"553",14,2900,8,1
"554",14,3000,7,1
"555",14,3100,7,1
"556",14,3200,8,1
"557",14,3300,7,1
"558",14,3400,7,1
"559",14,3500,7,1
"560",14,3600,8,1
"561",14,3700,7,1
"562",14,3800,8,1
"563",14,3900,9,1
"564",14,4000,9,1
"565",14,4100,8,1
"566",14,4200,8,1
"567",14,4300,8,1
"568",14,4400,8,1
"569",14,4500,8,1
"570",14,4600,7,1
"571",14,4700,9,1
"572",14,4800,8,1
"573",14,4900,9,1
"574",14,5000,7,1
"575",15,1000,3,1
"576",15,1100,3,1
"577",15,1200,3,1
"578",15,1300,3,1
"579",15,1400,3,1
"580",15,1500,3,1
"581",15,1600,3,1
"582",15,1700,3,1
"583",15,1800,3,1
"584",15,1900,3,1
"585",15,2000,3,1
"586",15,2100,3,1
"587",15,2200,3,1
"588",15,2300,3,1
"589",15,2400,3,1
"590",15,2500,3,1
"591",15,2600,3,1
"592",15,2700,3,1
"593",15,2800,3,1
"594",15,2900,3,1
"595",15,3000,3,1
"596",15,3100,3,1
"597",15,3200,3,1
"598",15,3300,3,1
"599",15,3400,3,1
"600",15,3500,3,1
"601",15,3600,3,1
"602",15,3700,3,1
"603",15,3800,3,1
"604",15,3900,3,1
"605",15,4000,3,1
"606",15,4100,3,1
"607",15,4200,3,1
"608",15,4300,3,1
"609",15,4400,3,1
"610",15,4500,3,1
"611",15,4600,3,1
"612",15,4700,3,1
"613",15,4800,3,1
"614",15,4900,3,1
"615",15,5000,3,1
"616",16,1000,7,1
"617",16,1100,7,1
"618",16,1200,7,1
"619",16,1300,7,1
"620",16,1400,9,1
"621",16,1500,8,1
"622",16,1600,6,1
"623",16,1700,7,1
"624",16,1800,9,1
"625",16,1900,9,1
"626",16,2000,8,1
"627",16,2100,8,1
"628",16,2200,8,1
"629",16,2300,7,1
"630",16,2400,7,1
"631",16,2500,7,1
"632",16,2600,8,1
"633",16,2700,7,1
"634",16,2800,8,1
"635",16,2900,8,1
"636",16,3000,7,1
"637",16,3100,8,1
"638",16,3200,7,1
"639",16,3300,7,1
"640",16,3400,7,1
"641",16,3500,7,1
"642",16,3600,8,1
"643",16,3700,8,1
"644",16,3800,7,1
"645",16,3900,7,1
"646",16,4000,7,1
"647",16,4100,8,1
"648",16,4200,7,1
"649",16,4300,7,1
"650",16,4400,7,1
"651",16,4500,7,1
"652",16,4600,7,1
"653",16,4700,7,1
"654",16,4800,7,1
"655",16,4900,7,1
"656",16,5000,7,1
"657",17,1000,13,1
"658",17,1100,14,1
"659",17,1200,14,1
"660",17,1300,14,1
"661",17,1400,14,1
"662",17,1500,14,1
"663",17,1600,14,1
"664",17,1700,14,1
"665",17,1800,13,1
"666",17,1900,13,1
"667",17,2000,15,1
"668",17,2100,14,1
"669",17,2200,14,1
"670",17,2300,14,1
"671",17,2400,14,1
"672",17,2500,14,1
"673",17,2600,14,1
"674",17,2700,13,1
"675",17,2800,13,1
"676",17,2900,13,1
"677",17,3000,13,1
"678",17,3100,13,1
"679",17,3200,13,1
"680",17,3300,13,1
"681",17,3400,13,1
"682",17,3500,14,1
"683",17,3600,14,1
"684",17,3700,14,1
"685",17,3800,14,1
"686",17,3900,14,1
"687",17,4000,14,1
"688",17,4100,14,1
"689",17,4200,13,1
"690",17,4300,13,1
"691",17,4400,14,1
"692",17,4500,13,1
"693",17,4600,14,1
"694",17,4700,14,1
"695",17,4800,13,1
"696",17,4900,14,1
"697",17,5000,13,1
"698",18,1000,8,1
"699",18,1100,7,1
"700",18,1200,7,1
"701",18,1300,7,1
